0	1	H+H+M=H2+M	
reactants	H	products	H2	
net_reactants	H	net_products	H2	
1	-1	H+H+M=H2+M	
reactants	H	products	H2	
net_reactants	H	net_products	H2	
2	2	H+BR+M=HBR+M	
reactants	BR	H	products	HBR	
net_reactants	BR	H	net_products	HBR	
3	-2	H+BR+M=HBR+M	
reactants	BR	H	products	HBR	
net_reactants	BR	H	net_products	HBR	
4	3	HBR+H=BR+H2	
reactants	H	HBR	products	BR	H2	
net_reactants	H	HBR	net_products	BR	H2	
5	-3	HBR+H=BR+H2	
reactants	H	HBR	products	BR	H2	
net_reactants	H	HBR	net_products	BR	H2	
6	4	BR+BR+M=BR2+M	
reactants	BR	products	BR2	
net_reactants	BR	net_products	BR2	
7	-4	BR+BR+M=BR2+M	
reactants	BR	products	BR2	
net_reactants	BR	net_products	BR2	
8	5	BR2+H=HBR+BR	
reactants	BR2	H	products	BR	HBR	
net_reactants	BR2	H	net_products	BR	HBR	
9	-5	BR2+H=HBR+BR	
reactants	BR2	H	products	BR	HBR	
net_reactants	BR2	H	net_products	BR	HBR	
