123	-->	C7H13O2-4	C:7	H:13	O:1	
124	-->	C7H15O2-1	C:7	H:15	O:2	
125	-->	C7H15O2-2	C:7	H:15	O:2	
126	-->	C7H15O2-3	C:7	H:15	O:2	
127	-->	C7H15O2-4	C:7	H:15	O:2	
128	-->	C7H15O2H-1	C:7	H:16	O:2	
129	-->	C7H15O2H-3	C:7	H:16	O:2	
130	-->	C7H15O-1	C:7	H:15	O:1	
131	-->	C7H15O-3	C:7	H:15	O:1	
132	-->	C7H14OOH1-3	C:7	H:15	O:2	
133	-->	C7H14OOH1-4	C:7	H:15	O:2	
134	-->	C7H14OOH2-3	C:7	H:15	O:2	
135	-->	C7H14OOH2-4	C:7	H:15	O:2	
136	-->	C7H14OOH2-5	C:7	H:15	O:2	
137	-->	C7H14OOH3-1	C:7	H:15	O:2	
138	-->	C7H14OOH3-5	C:7	H:15	O:2	
139	-->	C7H14OOH3-6	C:7	H:15	O:2	
140	-->	C7H14OOH4-2	C:7	H:15	O:2	
141	-->	C7H14OOH1-3O2	C:7	H:15	O:4	
142	-->	C7H14OOH1-4O2	C:7	H:15	O:4	
143	-->	C7H14OOH2-3O2	C:7	H:15	O:4	
144	-->	C7H14OOH2-4O2	C:7	H:15	O:4	
145	-->	C7H14OOH2-5O2	C:7	H:15	O:4	
146	-->	C7H14OOH3-1O2	C:7	H:15	O:4	
147	-->	C7H14OOH3-5O2	C:7	H:15	O:4	
148	-->	C7H14OOH3-6O2	C:7	H:15	O:4	
149	-->	C7H14OOH4-2O2	C:7	H:15	O:4	
150	-->	C7H14O1-4	C:7	H:14	O:1	
151	-->	C7H14O2-4	C:7	H:14	O:1	
152	-->	C7H14O2-5	C:7	H:14	O:1	
153	-->	NC7KET13	C:7	H:14	O:3	
154	-->	NC7KET24	C:7	H:14	O:3	
155	-->	NC7KET25	C:7	H:14	O:3	
156	-->	NC7KET31	C:7	H:14	O:3	
157	-->	NC7KET35	C:7	H:14	O:3	
158	-->	NC7KET36	C:7	H:14	O:3	
159	-->	NC7KET42	C:7	H:14	O:3	
160	-->	NC4H9COCH2	C:6	H:11	O:1	
161	-->	C4H7OOH1-4	C:4	H:8	O:2	
162	-->	C4H7O1-4	C:4	H:7	O:1	
163	-->	CHCHCHO	C:3	H:3	O:1	
164	-->	ETES1	C:6	H:10	O:1	
165	-->	C6H102OOH4-5	C:6	H:11	O:2	
