[C3H8],
[C3H8]C3H8+OH=>ipropyl+H2O-->[ipropyl]ipropyloo=>HO2+C3H6-->[C3H6],
[C3H8]C3H8+OH=>npropyl+H2O-->[npropyl]npropyloo=>HO2+C3H6-->[C3H6],
[C3H8]C3H8+OH=>ipropyl+H2O-->[ipropyl]O2+ipropyl=>HO2+C3H6-->[C3H6],
[C3H8]C3H8+OH=>npropyl+H2O-->[npropyl]well_1=>OH+prod_1-->[prod_1]prod_1=>frag_1+OH-->[frag_1]frag_1=>vinoxy+CH2O-->[vinoxy]vinoxy+O2=>CH2O+CO+OH-->[CO],
[C3H8]C3H8+HO2=>ipropyl+H2O2-->[ipropyl]ipropyloo=>HO2+C3H6-->[C3H6],
[C3H8]C3H8+OH=>npropyl+H2O-->[npropyl]well_1=>OH+prod_1-->[prod_1]prod_1=>frag_1+OH-->[frag_1]frag_1=>vinoxy+CH2O-->[CH2O],
[C3H8]C3H8+OH=>npropyl+H2O-->[npropyl]well_1=>OH+prod_1-->[prod_1]prod_1=>frag_1+OH-->[frag_1]frag_1=>vinoxy+CH2O-->[vinoxy]vinoxy+O2=>CH2O+CO+OH-->[CH2O],
[C3H8]C3H8+HO2=>ipropyl+H2O2-->[ipropyl]O2+ipropyl=>HO2+C3H6-->[C3H6],
[C3H8]C3H8+OH=>ipropyl+H2O-->[ipropyl]ipropyloo+HO2=>ipropylooh+O2-->[ipropylooh]ipropylooh=>ipropyloxy+OH-->[ipropyloxy]ipropyloxy=>CH3+acetaldehyde-->[acetaldehyde],
[C3H8]C3H8+OH=>npropyl+H2O-->[npropyl]O2+npropyl=>HO2+C3H6-->[C3H6],
